pos,player,opp,status,stats,points,year,week,team,total_score,total_bench,record,streak,team_away,total_score_away,total_bench_away,record_away,streak_away,game_id
QB,C. Palmer QB - ARI,@DET,"Loss, 23-35","268 Pass Yds, 1 Pass TD, 3 Int, 2 Rush Yds, Rush TD, Fum, 2PT, ...",8.92,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
RB,L. Bell RB - PIT,@CLE,"Win, 21-18","32 Rush Yds, Rush TD, Fum, 15 Rec Yds, Rec TD, 2PT, ...",4.7,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
RB,D. Cook RB - MIN,NO,"Win, 29-19","127 Rush Yds, Rush TD, Fum, 10 Rec Yds, Rec TD, 2PT, ...",13.7,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
WR,J. Nelson WR - GB,SEA,"Win, 17-9","79 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",13.9,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
WR,D. Thomas WR - DEN,LAC,"Win, 24-21","67 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",6.7,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
TE,T. Kelce TE - KC,@NE,"Win, 42-27","40 Rec Yds, Rec TD, Fum, 4 Rush Yds, Rush TD, 2PT, ...",4.4,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
W/R,E. Elliott RB - DAL,NYG,"Win, 19-3","104 Rush Yds, Rush TD, Fum, 36 Rec Yds, Rec TD, 2PT, ...",14.0,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
K,M. Prater K - DET,ARI,"Win, 35-23","2 PAT, PAT Miss, 0-19, 20-29, 30-39, 40-49, 1 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",7.0,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
DEF,Rams DEF,IND,"Win, 46-9","9 Pts, 4 Sck, 2 Int, 1 Fum, 2 TD, Ret TD, 1 Saf, ...",30.0,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
BN,D. Martin RB - TB,Bye,,"Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",0.0,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
BN,K. Allen WR - LAC,@DEN,"Loss, 21-24","35 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",9.5,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
BN,M. Bryant WR - PIT,@CLE,"Win, 21-18","14 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",1.4,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
BN,T. Coleman RB - ATL,@CHI,"Win, 23-17","16 Rush Yds, Rush TD, Fum, 42 Rec Yds, Rec TD, 2PT, ...",5.8,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
BN,D. Henry RB - TEN,LV,"Loss, 16-26","25 Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",2.5,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
BN,K. Hunt RB - KC,@NE,"Win, 42-27","148 Rush Yds, 1 Rush TD, 1 Fum, 98 Rec Yds, 2 Rec TD, 2PT, ...",40.6,2017,1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,Kung Suh Panda,56.84,59.74,0-1-0,L1,0
QB,A. Rodgers QB - GB,SEA,"Win, 17-9","311 Pass Yds, 1 Pass TD, 1 Int, 21 Rush Yds, Rush TD, Fum, 2PT, ...",16.54,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
RB,D. Murray RB - TEN,LV,"Loss, 16-26","44 Rush Yds, Rush TD, Fum, 16 Rec Yds, Rec TD, 2PT, ...",6.0,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
RB,B. Powell RB - NYJ,@BUF,"Loss, 12-21","22 Rush Yds, Rush TD, Fum, 17 Rec Yds, Rec TD, 2PT, ...",3.9,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
WR,J. Jones WR - ATL,@CHI,"Win, 23-17","66 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",6.6,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
WR,A. Jeffery WR - PHI,@WAS,"Win, 30-17","38 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 1 2PT, ...",5.8,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
TE,T. Eifert TE - CIN,BAL,"Loss, 0-20","4 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.4,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
W/R,I. Crowell RB - CLE,PIT,"Loss, 18-21","33 Rush Yds, Rush TD, Fum, 33 Rec Yds, Rec TD, 1 2PT, ...",8.6,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
K,S. Gostkowski K - NE,KC,"Loss, 27-42","3 PAT, PAT Miss, 0-19, 1 20-29, 1 30-39, 40-49, 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",8.0,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
DEF,Patriots DEF,KC,"Loss, 27-42","42 Pts, 3 Sck, Int, 1 Fum, TD, Ret TD, Saf, ...",1.0,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
BN,M. Bennett TE - NE,KC,"Loss, 27-42","43 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",4.3,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
BN,C. Newton QB - CAR,@SF,"Win, 23-3","171 Pass Yds, 2 Pass TD, 1 Int, 3 Rush Yds, Rush TD, Fum, 2PT, ...",13.14,2017,1,Kung Suh Panda,56.84,59.74,0-1-0,L1,Le'Veon A Prayer,103.32,59.8,1-0-0,W1,0
