pos,player,opp,status,stats,points,year,week,team,total_score,team_away,team_away_score
QB,K. Murray,@ SF,L 24-20,,26.30,2020,1,TheRealBauer,134.90,Hubner,110.10
RB,C. Edwards-Helaire,vs HOU,W 34-20,,19.80,2020,1,TheRealBauer,134.90,Hubner,110.10
RB,A. Gibson,vs PHI,W 27-17,,5.40,2020,1,TheRealBauer,134.90,Hubner,110.10
WR,J. Crowder,@ BUF,W 17-27,,21.00,2020,1,TheRealBauer,134.90,Hubner,110.10
WR,D. Chark,vs IND,W 27-20,,10.00,2020,1,TheRealBauer,134.90,Hubner,110.10
TE,G. Kittle,vs ARI,L 20-24,,7.30,2020,1,TheRealBauer,134.90,Hubner,110.10
FLX,R. Woods,vs DAL,W 20-17,,14.90,2020,1,TheRealBauer,134.90,Hubner,110.10
FLX,A. Ekeler,@ CIN,L 16-13,,9.20,2020,1,TheRealBauer,134.90,Hubner,110.10
K,J. Myers,@ ATL,L 38-25,,9.00,2020,1,TheRealBauer,134.90,Hubner,110.10
DEF,L. Chargers,@ CIN,L 16-13,,12.00,2020,1,TheRealBauer,134.90,Hubner,110.10
BN,M. Brown,@ NE,W 11-21,,24.50,2020,1,TheRealBauer,134.90,Hubner,110.10
BN,K. Hunt,@ BAL,W 6-38,,9.10,2020,1,TheRealBauer,134.90,Hubner,110.10
BN,K. Johnson,@ WAS,W 17-27,,1.40,2020,1,TheRealBauer,134.90,Hubner,110.10
BN,J. Landry,@ BAL,W 6-38,,8.60,2020,1,TheRealBauer,134.90,Hubner,110.10
BN,C. Kirk,@ SF,L 24-20,,0.50,2020,1,TheRealBauer,134.90,Hubner,110.10
BN,J. Jeudy,vs TEN,L 14-16,,6.60,2020,1,TheRealBauer,134.90,Hubner,110.10
QB,L. Jackson,vs CLE,W 38-6,,26.50,2020,1,Hubner,110.10,TheRealBauer,134.90
RB,A. Kamara,vs TB,W 34-23,,21.20,2020,1,Hubner,110.10,TheRealBauer,134.90
RB,K. Drake,@ CAR,L 34-30,,13.50,2020,1,Hubner,110.10,TheRealBauer,134.90
WR,H. Ruggs,@ CAR,L 34-30,,8.10,2020,1,Hubner,110.10,TheRealBauer,134.90
WR,D. Moore,vs LV,L 30-34,,7.40,2020,1,Hubner,110.10,TheRealBauer,134.90
TE,T. Hockenson,vs CHI,L 23-27,,14.10,2020,1,Hubner,110.10,TheRealBauer,134.90
FLX,T. Boyd,vs LAC,L 13-16,,5.30,2020,1,Hubner,110.10,TheRealBauer,134.90
FLX,C. Kupp,vs DAL,W 20-17,,6.00,2020,1,Hubner,110.10,TheRealBauer,134.90
K,D. Bailey,,BYE,,4.00,2020,1,Hubner,110.10,TheRealBauer,134.90
DEF,I. Colts,@ JAX,W 20-27,,4.00,2020,1,Hubner,110.10,TheRealBauer,134.90
BN,L. Murray,vs TB,W 34-23,,4.80,2020,1,Hubner,110.10,TheRealBauer,134.90
BN,C. Thompson,,BYE,,1.60,2020,1,Hubner,110.10,TheRealBauer,134.90
BN,T. Coleman,@ BUF,W 17-27,,2.90,2020,1,Hubner,110.10,TheRealBauer,134.90
BN,R. Jones,@ NO,W 23-34,,9.20,2020,1,Hubner,110.10,TheRealBauer,134.90
BN,J. Robinson,vs IND,W 27-20,,9.50,2020,1,Hubner,110.10,TheRealBauer,134.90
BN,C. Sutton,vs TEN,L 14-16,,0.00,2020,1,Hubner,110.10,TheRealBauer,134.90
QB,P. Mahomes,vs HOU,W 34-20,,20.44,2020,1,MarkusEXperte,120.04,seb44,132.80
RB,D. Cook,vs GB,L 34-43,,21.30,2020,1,MarkusEXperte,120.04,seb44,132.80
RB,M. Ingram,@ KC,W 20-34,,2.90,2020,1,MarkusEXperte,120.04,seb44,132.80
WR,T. Hill,vs HOU,W 34-20,,13.10,2020,1,MarkusEXperte,120.04,seb44,132.80
WR,D. Metcalf,@ ATL,L 38-25,,17.50,2020,1,MarkusEXperte,120.04,seb44,132.80
TE,T. Higbee,vs DAL,W 20-17,,5.50,2020,1,MarkusEXperte,120.04,seb44,132.80
FLX,M. Mack,@ JAX,W 20-27,,7.10,2020,1,MarkusEXperte,120.04,seb44,132.80
FLX,W. Fuller,@ NE,W 11-21,,15.20,2020,1,MarkusEXperte,120.04,seb44,132.80
K,Z. Gonzalez,vs CHI,L 23-27,,8.00,2020,1,MarkusEXperte,120.04,seb44,132.80
DEF,B. Bills,vs NYJ,W 27-17,,9.00,2020,1,MarkusEXperte,120.04,seb44,132.80
BN,D. Montgomery,@ DET,L 27-23,,7.90,2020,1,MarkusEXperte,120.04,seb44,132.80
BN,A. Mattison,vs GB,L 34-43,,10.00,2020,1,MarkusEXperte,120.04,seb44,132.80
BN,D. Swift,vs CHI,L 23-27,,9.80,2020,1,MarkusEXperte,120.04,seb44,132.80
BN,J. Brown,@ CAR,L 34-30,,16.00,2020,1,MarkusEXperte,120.04,seb44,132.80
BN,A. Miller,@ KC,W 20-34,,15.60,2020,1,MarkusEXperte,120.04,seb44,132.80
BN,D. Samuel,vs ARI,L 20-24,,0.00,2020,1,MarkusEXperte,120.04,seb44,132.80
QB,R. Wilson,@ ATL,L 38-25,,30.78,2020,1,MKx,154.18,StumpfistTrumpf,125.36
RB,E. Elliott,@ LAR,W 17-20,,26.20,2020,1,MKx,154.18,StumpfistTrumpf,125.36
RB,C. Carson,@ ATL,L 38-25,,21.60,2020,1,MKx,154.18,StumpfistTrumpf,125.36
WR,D. Hopkins,@ SF,L 24-20,,22.10,2020,1,MKx,154.18,StumpfistTrumpf,125.36
WR,A. Lazard,@ MIN,L 43-34,,16.20,2020,1,MKx,154.18,StumpfistTrumpf,125.36
TE,Z. Ertz,@ WAS,W 17-27,,9.30,2020,1,MKx,154.18,StumpfistTrumpf,125.36
FLX,D. Jackson,vs DAL,W 20-17,,5.60,2020,1,MKx,154.18,StumpfistTrumpf,125.36
FLX,C. Lamb,@ LAR,W 17-20,,8.40,2020,1,MKx,154.18,StumpfistTrumpf,125.36
K,W. Lutz,vs TB,W 34-23,,8.00,2020,1,MKx,154.18,StumpfistTrumpf,125.36
DEF,S. 49ers,vs ARI,L 20-24,,6.00,2020,1,MKx,154.18,StumpfistTrumpf,125.36
BN,C. Newton,vs MIA,W 21-11,,25.70,2020,1,MKx,154.18,StumpfistTrumpf,125.36
BN,J. Dobbins,vs CLE,W 38-6,,14.20,2020,1,MKx,154.18,StumpfistTrumpf,125.36
BN,Z. Moss,vs NYJ,W 27-17,,10.20,2020,1,MKx,154.18,StumpfistTrumpf,125.36
BN,K. Vaughn,@ NO,W 23-34,,0.00,2020,1,MKx,154.18,StumpfistTrumpf,125.36
BN,M. Evans,@ NO,W 23-34,,6.70,2020,1,MKx,154.18,StumpfistTrumpf,125.36
BN,M. Pittman,@ JAX,W 20-27,,2.00,2020,1,MKx,154.18,StumpfistTrumpf,125.36
QB,T. Brady,@ NO,W 23-34,,19.46,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
RB,N. Chubb,@ BAL,W 6-38,,4.10,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
RB,L. Bell,,BYE,,5.60,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
WR,M. Thomas,vs TB,W 34-23,,3.20,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
WR,A. Thielen,vs GB,L 34-43,,28.00,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
TE,M. Andrews,vs CLE,W 38-6,,20.30,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
FLX,M. Jones,vs IND,W 27-20,,7.50,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
FLX,A. Green,@ SF,L 24-20,,7.60,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
K,Y. Koo,vs SEA,L 25-38,,8.00,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
DEF,P. Steelers,@ NYG,L 26-16,,8.00,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
BN,D. Watson,@ KC,W 20-34,,20.82,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
BN,A. Peterson,,BYE,,12.90,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
BN,D. Freeman,vs TB,W 34-23,,0.00,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
BN,J. Howard,@ WAS,W 17-27,,6.70,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
BN,J. Cook,@ CIN,L 16-13,,10.50,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
BN,E. Engram,vs PIT,L 16-26,,1.90,2020,1,Hammichan,111.76,AllTimeReadyPat,112.44
QB,J. Allen,vs NYJ,W 27-17,,26.18,2020,1,Blitzkoerper85,124.78,Speasy,144.50
RB,J. Jacobs,@ CAR,L 34-30,,33.90,2020,1,Blitzkoerper85,124.78,Speasy,144.50
RB,C. Akers,vs DAL,W 20-17,,4.80,2020,1,Blitzkoerper85,124.78,Speasy,144.50
WR,C. Godwin,@ NO,W 23-34,,10.90,2020,1,Blitzkoerper85,124.78,Speasy,144.50
WR,D. Parker,@ NE,W 11-21,,6.70,2020,1,Blitzkoerper85,124.78,Speasy,144.50
TE,M. Gesicki,@ NE,W 11-21,,4.50,2020,1,Blitzkoerper85,124.78,Speasy,144.50
FLX,S. Diggs,vs NYJ,W 27-17,,12.60,2020,1,Blitzkoerper85,124.78,Speasy,144.50
FLX,T. Lockett,@ ATL,L 38-25,,13.20,2020,1,Blitzkoerper85,124.78,Speasy,144.50
K,H. Butker,vs HOU,W 34-20,,7.00,2020,1,Blitzkoerper85,124.78,Speasy,144.50
DEF,P. Eagles,@ WAS,W 17-27,,5.00,2020,1,Blitzkoerper85,124.78,Speasy,144.50
BN,P. Barber,vs PHI,W 27-17,,14.90,2020,1,Blitzkoerper85,124.78,Speasy,144.50
BN,L. Fournette,@ NO,W 23-34,,2.40,2020,1,Blitzkoerper85,124.78,Speasy,144.50
BN,N. Hines,@ JAX,W 20-27,,23.30,2020,1,Blitzkoerper85,124.78,Speasy,144.50
BN,R. Armstead,vs PIT,L 16-26,,0.00,2020,1,Blitzkoerper85,124.78,Speasy,144.50
BN,M. Sanders,@ WAS,W 17-27,,0.00,2020,1,Blitzkoerper85,124.78,Speasy,144.50
BN,K. Golladay,vs PIT,L 16-26,,0.00,2020,1,Blitzkoerper85,124.78,Speasy,144.50
QB,D. Brees,,BYE,,14.40,2020,1,seb44,132.80,MarkusEXperte,120.04
RB,D. Henry,@ DEN,L 16-14,,14.60,2020,1,seb44,132.80,MarkusEXperte,120.04
RB,D. Johnson,@ KC,W 20-34,,18.40,2020,1,seb44,132.80,MarkusEXperte,120.04
WR,J. Jones,@ DEN,L 16-14,,20.20,2020,1,seb44,132.80,MarkusEXperte,120.04
WR,A. Cooper,@ LAR,W 17-20,,13.10,2020,1,seb44,132.80,MarkusEXperte,120.04
TE,H. Hurst,vs SEA,L 25-38,,5.30,2020,1,seb44,132.80,MarkusEXperte,120.04
FLX,S. Shepard,vs PIT,L 16-26,,7.70,2020,1,seb44,132.80,MarkusEXperte,120.04
FLX,R. Mostert,vs ARI,L 20-24,,23.10,2020,1,seb44,132.80,MarkusEXperte,120.04
K,R. Gould,vs ARI,L 20-24,,9.00,2020,1,seb44,132.80,MarkusEXperte,120.04
DEF,K. Chiefs,vs HOU,W 34-20,,7.00,2020,1,seb44,132.80,MarkusEXperte,120.04
BN,D. Johnson,,BYE,,1.40,2020,1,seb44,132.80,MarkusEXperte,120.04
BN,M. Breida,vs NYJ,W 27-17,,2.20,2020,1,seb44,132.80,MarkusEXperte,120.04
BN,S. Michel,vs MIA,W 21-11,,9.70,2020,1,seb44,132.80,MarkusEXperte,120.04
BN,A. Dillon,@ MIN,L 43-34,,1.40,2020,1,seb44,132.80,MarkusEXperte,120.04
BN,M. Gallup,@ LAR,W 17-20,,6.50,2020,1,seb44,132.80,MarkusEXperte,120.04
BN,A. Brown,@ DEN,L 16-14,,6.40,2020,1,seb44,132.80,MarkusEXperte,120.04
QB,A. Rodgers,@ MIN,L 43-34,,30.76,2020,1,StumpfistTrumpf,125.36,MKx,154.18
RB,J. Mixon,vs LAC,L 13-16,,4.60,2020,1,StumpfistTrumpf,125.36,MKx,154.18
RB,M. Gordon,vs TEN,L 14-16,,13.10,2020,1,StumpfistTrumpf,125.36,MKx,154.18
WR,D. Adams,@ MIN,L 43-34,,34.60,2020,1,StumpfistTrumpf,125.36,MKx,154.18
WR,T. Hilton,@ JAX,W 20-27,,7.30,2020,1,StumpfistTrumpf,125.36,MKx,154.18
TE,D. Waller,@ CAR,L 34-30,,7.50,2020,1,StumpfistTrumpf,125.36,MKx,154.18
FLX,J. Taylor,@ JAX,W 20-27,,11.90,2020,1,StumpfistTrumpf,125.36,MKx,154.18
FLX,M. Brown,vs CLE,W 38-6,,12.60,2020,1,StumpfistTrumpf,125.36,MKx,154.18
K,J. Tucker,vs CLE,W 38-6,,9.00,2020,1,StumpfistTrumpf,125.36,MKx,154.18
DEF,M. Vikings,vs GB,L 34-43,,-6.00,2020,1,StumpfistTrumpf,125.36,MKx,154.18
BN,B. Scott,@ WAS,W 17-27,,6.40,2020,1,StumpfistTrumpf,125.36,MKx,154.18
BN,P. Lindsay,@ KC,W 20-34,,4.00,2020,1,StumpfistTrumpf,125.36,MKx,154.18
BN,D. Harris,vs MIA,W 21-11,,0.00,2020,1,StumpfistTrumpf,125.36,MKx,154.18
BN,M. Hardman,vs HOU,W 34-20,,1.10,2020,1,StumpfistTrumpf,125.36,MKx,154.18
BN,T. McLaurin,vs PHI,W 27-17,,8.60,2020,1,StumpfistTrumpf,125.36,MKx,154.18
BN,H. Henry,vs MIA,W 21-11,,9.80,2020,1,StumpfistTrumpf,125.36,MKx,154.18
QB,M. Ryan,vs SEA,L 25-38,,23.90,2020,1,Speasy,144.50,Blitzkoerper85,124.78
RB,C. McCaffrey,vs LV,L 30-34,,27.00,2020,1,Speasy,144.50,Blitzkoerper85,124.78
RB,J. Conner,@ SF,L 24-20,,2.70,2020,1,Speasy,144.50,Blitzkoerper85,124.78
WR,J. Smith-Schuster,@ NYG,L 26-16,,21.90,2020,1,Speasy,144.50,Blitzkoerper85,124.78
WR,A. Robinson,@ DET,L 27-23,,9.80,2020,1,Speasy,144.50,Blitzkoerper85,124.78
TE,T. Kelce,vs HOU,W 34-20,,14.00,2020,1,Speasy,144.50,Blitzkoerper85,124.78
FLX,J. Edelman,,BYE,,10.50,2020,1,Speasy,144.50,Blitzkoerper85,124.78
FLX,K. Allen,@ CIN,L 16-13,,5.70,2020,1,Speasy,144.50,Blitzkoerper85,124.78
K,M. Prater,@ SF,L 24-20,,11.00,2020,1,Speasy,144.50,Blitzkoerper85,124.78
DEF,B. Ravens,vs CLE,W 38-6,,18.00,2020,1,Speasy,144.50,Blitzkoerper85,124.78
BN,T. Cohen,@ DET,L 27-23,,5.70,2020,1,Speasy,144.50,Blitzkoerper85,124.78
BN,C. Edmonds,@ SF,L 24-20,,11.00,2020,1,Speasy,144.50,Blitzkoerper85,124.78
BN,D. Singletary,vs NYJ,W 27-17,,7.80,2020,1,Speasy,144.50,Blitzkoerper85,124.78
BN,E. Sanders,vs NYJ,W 27-17,,9.00,2020,1,Speasy,144.50,Blitzkoerper85,124.78
BN,D. Slayton,vs PIT,L 16-26,,25.20,2020,1,Speasy,144.50,Blitzkoerper85,124.78
BN,N. Fant,vs TEN,L 14-16,,16.60,2020,1,Speasy,144.50,Blitzkoerper85,124.78
QB,D. Prescott,@ LAR,W 17-20,,17.64,2020,1,AllTimeReadyPat,112.44,Hammichan,111.76
RB,S. Barkley,vs PIT,L 16-26,,9.60,2020,1,AllTimeReadyPat,112.44,Hammichan,111.76
RB,A. Jones,@ MIN,L 43-34,,14.60,2020,1,AllTimeReadyPat,112.44,Hammichan,111.76
WR,C. Ridley,vs SEA,L 25-38,,29.40,2020,1,AllTimeReadyPat,112.44,Hammichan,111.76
WR,O. Beckham,@ BAL,W 6-38,,3.70,2020,1,AllTimeReadyPat,112.44,Hammichan,111.76
TE,R. Gronkowski,@ NO,W 23-34,,2.10,2020,1,AllTimeReadyPat,112.44,Hammichan,111.76
FLX,T. Gurley,,BYE,,12.70,2020,1,AllTimeReadyPat,112.44,Hammichan,111.76
FLX,D. Johnson,@ NYG,L 26-16,,5.70,2020,1,AllTimeReadyPat,112.44,Hammichan,111.76
